,x-axis,y-axis
0,11333.113335391852,9686.780999704104
1,8712.669751982792,7367.632441407216
2,10560.351014309696,11391.913896255057
3,10586.876739510975,11323.6370311868
4,8645.146368902586,8785.640097308253
5,10929.349929711147,11742.656932561627
6,7756.116436981564,8658.783795546171
7,8141.175495233673,6607.702231621481
8,11374.83188967911,8467.758177693479
9,13450.677328151249,14850.974842970625
10,7971.564538107544,6400.383136244153
11,13532.615623915117,14981.09698329889
12,10078.31719394546,7620.088065340572
13,11575.02347395408,9726.301400743947
14,10692.517213748006,11502.185960958324
15,11069.65364714859,11895.730890932666
16,13940.659438898994,15791.264342016668
17,8463.869914034047,9147.760874301784
18,8258.154087521109,10307.70367787169
19,7870.708098885609,6092.923538674133
20,8678.332623262337,8374.747500837313
21,11706.41074819439,8199.727084851767
22,8343.624494967387,10383.325821774015
23,8672.623784186988,8168.036798810554
24,13715.531704389652,15252.863233370064
25,10747.4057433291,11847.419923902491
26,11980.346541525334,7622.013406215797
27,8753.477198118937,11770.056189666842
28,8387.810710618916,6326.288102916833
29,9061.08637528131,12163.665060550204
